Gene_LOH	Pvalue	HR	Qvalue	N
rLOH_GBE1	0.147379783396637	3.19367563623279	0.736898916983185	10
fLOH_GEMIN4	0.161078119596962	0.222494254117154	0.869591111193954	13
rLOH_GEMIN4	0.970181019059616	0.975980631840857	0.999478061477577	21
fLOH_GEMIN5	0.279740654073971	2.28085711142738	0.996553177197004	10
rLOH_GEMIN5	0.998059952384617	2.87312099268141e-07	0.999478061477577	2
fLOH_GLDN	0.997239361271899	9.40371597542719e-08	0.999561539553054	5
rLOH_GLDN	0.940056455472691	1.06203679752268	0.999478061477577	10
fLOH_GNL3	0.512583010405984	0.493063723236573	0.999561539553054	15
rLOH_GNL3	0.997608172918977	2.82180586309292e-08	0.999478061477577	10
fLOH_GPAM	0.698310908647615	0.666109384020121	0.999561539553054	12
rLOH_GPAM	0.441890639424257	0.428418726129189	0.999478061477577	10
fLOH_GRIN3A	0.846927145599996	1.22697987767231	0.999561539553054	15
rLOH_GRIN3A	0.0516160965023157	3.29650343071949	0.378370906464266	15
fLOH_GRK4	0.997933239057154	5.90510438401332e-08	0.999561539553054	9
rLOH_GRK4	0.044518501916777	4.11785777865799	0.378370906464266	12
fLOH_GSDMA	0.301104204312306	0.340106398934694	0.999561539553054	19
rLOH_GSDMA	0.474729172268211	1.61476297413783	0.999478061477577	18
fLOH_GSDMB	0.998089285629653	4.28219344246904e-08	0.999561539553054	4
rLOH_GSDMB	0.0966295187973894	3.71288388243172	0.579777112784336	13
fLOH_GSTZ1	0.609829433033971	0.581191424655431	0.999561539553054	15
rLOH_GSTZ1	0.135893310364809	0.18476302790366	0.727818639074073	12
fLOH_HAP1	0.330028218099589	2.82881328057454	0.999561539553054	6
rLOH_HAP1	0.399114465419259	1.90885563442146	0.991543941221152	12
fLOH_HELZ	0.929754127942668	1.07200887630146	0.999561539553054	10
rLOH_HELZ	0.868268967073603	1.19927610179578	0.999478061477577	10
fLOH_HSF5	0.958730437862682	0.946637684569948	0.999561539553054	12
rLOH_HSF5	0.99742229300429	1.85252165284667e-08	0.999478061477577	10
fLOH_HSPB9	0.334219566186716	2.89458109455152	0.999561539553054	8
rLOH_HSPB9	0.514494142441723	1.66957790515948	0.999478061477577	12
fLOH_HYLS1	0.997946121630059	3.74018919533602e-08	0.999561539553054	6
rLOH_HYLS1	0.665643201511953	1.5822234346768	0.999478061477577	10
fLOH_IPO4	0.83439945709475	1.24785113441461	0.999561539553054	8
rLOH_IPO4	0.0261476309694156	4.01518385278721	0.348635079592208	15
fLOH_ISM2	0.0163118845885497	4.57182602057489	0.280173834569156	11
rLOH_ISM2	0.997325107427666	1.38346026175343e-07	0.999478061477577	6
fLOH_ITGA2B	0.889885686406385	0.85569005351637	0.999561539553054	7
rLOH_ITGA2B	0.116652851073374	0.171919618052943	0.670343964524669	19
fLOH_ITGA9	0.515566666202238	0.483502913236946	0.999561539553054	13
rLOH_ITGA9	0.0682133195950524	3.131189066076	0.454755463967016	17
fLOH_ITGAE	0.797520688609585	0.76123124296264	0.999561539553054	15
rLOH_ITGAE	0.262777949384466	0.449699653214585	0.946604249325915	13
fLOH_ITGB4	0.998400354956537	9.36064459072298e-09	0.999561539553054	9
rLOH_ITGB4	0.998312127173017	1.09917610890356e-08	0.999478061477577	11
fLOH_ITIH1	0.747787041696858	0.70234503062854	0.999561539553054	10
rLOH_ITIH1	0.99753464554034	2.80699656808808e-08	0.999478061477577	9
fLOH_ITIH4	0.362166964989394	2.11657777776706	0.999561539553054	10
rLOH_ITIH4	0.845079424890853	1.23150010981856	0.999478061477577	7
fLOH_JAML	0.363527809377744	0.370124849265053	0.999561539553054	8
rLOH_JAML	0.0219251991611855	5.40566293890979	0.328877987417782	11
fLOH_KANSL2	0.997334450913893	3.70104085001946e-08	0.999561539553054	10
rLOH_KANSL2	0.454849024843268	2.25751430294511	0.999478061477577	5
fLOH_KIF15	0.0644962480714371	4.8330652301061	0.563744983142932	12
rLOH_KIF15	8.41934280094584e-05	12.4136633558802	0.02020642272227	8
